Name,Average
Sciurus_deppei,2.91
Spalax_microphthalmus,2.91
Thryonomys_gregorianus,2.91
Grammomys_cometes,2.9
Sekeetamys_calurus,2.9
Otomys_angoniensis,2.86
Oenomys_hypoxanthus,2.81
Pogonomys_macrourus,2.81
Zyzomys_argurus,2.76
Dephomys_defua,2.75
Lorentzimys_nouhuysi,2.75
Gerbilliscus_brantsii,2.74
Marmota_menzbieri,2.73
Hybomys_trivirgatus,2.72
Chiruromys_forbesi,2.68
Mammelomys_lanosus,2.68
Pogonomys_loriae,2.68
Protochromys_fellowsi,2.68
Dasymys_incomtus,2.67
Sciurus_colliaei,2.66
Sciurus_griseus,2.65
Pogonomys_sylvestris,2.64
Funambulus_tristriatus,2.64
Iomys_horsfieldii,2.64
Desmodillus_auricularis,2.62
Pseudomys_higginsi,2.62
Callosciurus_notatus,2.62
Funambulus_palmarum,2.62
Desmodilliscus_braueri,2.6
Sciurus_niger,2.6
Sciurus_richmondi,2.59
Tamiops_maritimus,2.59
Uromys_caudimaculatus,2.5
Madromys_blanfordi,2.5
Melomys_burtoni,2.5
Melomys_lutillus,2.5
Pelomys_minor,2.5
Macrotarsomys_bastardi,2.5
Pteromys_volans,2.5
Rattus_mordax,2.47
Malacomys_edwardsi,2.46
Petromyscus_collinus,2.46
Exilisciurus_exilis,2.46
Sundasciurus_lowii,2.46
Funisciurus_congicus,2.44
Funambulus_layardi,2.43
Sciurus_nayaritensis,2.43
Tamias_bulleri,2.43
Stochomys_longicaudatus,2.38
Tamias_durangae,2.38
Tamiops_macclellandii,2.38
Niviventer_coninga,2.37
Callosciurus_nigrovittatus,2.36
Hybomys_univittatus,2.3
Lophuromys_flavopunctatus,2.3
Millardia_gleadowi,2.3
Zyzomys_woodwardi,2.23
Hylopetes_alboniger,2.23
Melomys_cervinipes,2.2
Paraxerus_ochraceus,2.2
Callosciurus_caniceps,2.19
Melomys_rufescens,2.17
Chiruromys_lamia,2.15
Melomys_leucogaster,2.15
Paramelomys_moncktoni,2.15
Pogonomelomys_mayeri,2.15
Pogonomys_championi,2.15
Rattus_niobe,2.15
Rattus_richardsoni,2.15
Rattus_vandeuseni,2.15
Rattus_verecundus,2.15
Xerus_inauris,2.06
Parotomys_brantsii,2.04
Octodontomys_gliroides,2.04
Paraxerus_cepapi,2.02
Bunomys_chrysocomus,2
Conilurus_penicillatus,2
Margaretamys_beccarii,2
Margaretamys_elegans,2
Margaretamys_parvus,2
Melomys_capensis,2
Mesembriomys_macrurus,2
Paramelomys_rubex,2
Pithecheir_parvus,2
Pseudomys_hermannsburgensis,2
Xeromys_myoides,2
Callosciurus_finlaysonii,2
Epixerus_ebii,2
Funambulus_sublineatus,2
Heliosciurus_rufobrachium,2
Hylopetes_lepidus,2
Microsciurus_flaviventer,2
Paraxerus_lucifer,2
